用户昵称,分类,评价日期,评论
s***0,黑色,07.21,宝贝收到了！很超值！五金很扎实，风力很大。三档调节。遥控操作简单。不愧是大品牌！朋友推荐买的。卖家服务态度很好！物流也很快！五分好评！        07.21解释：感谢您对美的环境电器官方旗舰店的认可和支持，我们将会秉承“顾客第一，服务第一”的宗旨，全心全意为您服务，再次感谢您的光临！祝亲购物愉快、事事顺心，工作顺利！~~
l***宝,黑色,07.26,美的风扇就是好，接着买第二台了，这款功能更多，感受更丰富，好评5分。        07.26
悠***3,黑色,07.29,  初次评价: 07.29此用户没有填写评论!          收货当天追加： 美的风扇太好了，声音小，风力大，值得购买        
t***1,黑色,07.24,美的出品 必属精品，不错                07.24
t***2,黑色,07.24,风力超级大，喜欢这个款式，安装简单，买回家自己装好的，超级喜欢。😍    07.24
t***6,黑色,07.20,质量很好.风很轻柔.做工很细致.款式很漂亮.超凉快.客服小飞美女很贴心                07.20解释：亲爱的，很高兴您选择美的宝贝成为您家庭中的一员，我们的的服务宗旨是：买的开心、用的舒心、售后放心、有任何不明白的随时联系我们的在线客服或者拨打我们的售后400-889-9315电话咨询哦~！祝亲和亲的家人生活愉快，幸福美满~！
x***许,黑色,07.26,收到，组装试了很好。        07.26
h***0,黑色,07.25,很不错，立柱要拧松才能把内立柱倒出来，谢谢客服小笙的热情服务。        07.25
壹***咪,黑色,07.25,挺好的放心购买吧        07.25
j***児,黑色,07.29,很好，终于到货了，很喜欢，值，把我累的，        07.29
s***子,黑色,07.24,特意使用了一段时间才来评价的，首先得说确实高颜值，之前还以为黑色不耐看，那个灰色圈一套瞬间颜值就上去了，全家都很喜欢，安装简单，没什么噪音！很满意的一次购物，良心推荐购买        07.24
闪***6,黑色,07.18,安装好了，用的很好。值得好评，全五星！            07.18解释：满意就好满意就好！ 我们自然也很开心吶！谢谢您！~~
黄***2,黑色,07.18,"非常满意的一次网购 ，真的是静音，看上去还很大气，下次一定会再来的，也给快递小哥点个赞👍        07.18解释：\""总是担心我们做得不够好... 怕我们的回复不够详细，您没有很清楚... 又担心物流的速度不够快，您没有及时收到... 又或者怕我们的包装不够仔细不够结实…… 但是在大部分时间里我们都在全心全意的努力... 希望您收到包裹的时候能露出满意和开心的微笑... 谢谢您的光临伴随和鞭策着我们的成长... 真的很谢谢 \"""
t***2,黑色,07.28,  初次评价: 07.28此用户没有填写评论!      收货当天追加： 昨天老公拿回来，刚刚装上，挺不错的，风量很大！    
萍***0,黑色,07.25,美的值得信赖，大厂风范。非常不错的做工，机器在外观看是铜线。    07.25
d***3,黑色,07.18,很好，感觉很满意，美观大方上档次。            07.18解释：亲，只要能让您感到满意，我们的一切付出就都有了意义，您的满意是我们最大的满足，真心感谢您选择了我们，我们会一如既往地努力，欢迎您的再次光临，也希望能够为您和其他顾客提供惊喜的产品和服务。超棒的买家，赞一个么么哒！
t***8,黑色,07.19,不错，一直信赖美的牌子，家里很多电器都是美的，质量不错，颜值很高，风大，没有噪音，这风吹的就是爽            07.19解释：您好亲，当我们看到好评的那一瞬间，很激动哦，因为您的肯定就是对我们最大的支持和鼓励。您的好评对我们来说就是一盏明灯，时刻指引着我们向更高的标准前进，为了达到您的更高要求，我们时刻不断的改正自己，不断的完善自己，这也是对我们可爱的顾客----您---最大的回报。我们时刻会记得您对我们的支持，希望您也记得有一个期待者在时刻期待您的再次光临。祝您心情愉快！~~
石***科,黑色,07.21,大气，风力足，功能多多        07.21解释：非常感谢亲对美的认可和支持，我们将会更加努力为大家提供更高、更优质的服务和产品。我们的服务宗旨是买的放心、用的舒心、售后宽心！美的环境电器官方旗舰店一直以信誉第一，顾客至上的经营理念，再次感谢您的光临！祝亲购物愉快、事事顺心，工作顺利！~~
邓***1,黑色,07.23,装上了，用着还可以        07.23
t***1,黑色,07.29,美的品牌就是好产品，遥控指挥不要亲自出马走过去，真是棒棒哒    07.29
l***4,黑色,07.22,非常好，风力大，还有静音模式，非常棒        07.22解释：十分的感谢亲能在百忙中抽空给我们评价，美的环境电器官方旗舰店会秉着“顾客第一，服务第一”的宗旨，全心全意为您服务，如果在使用中或者是对产品有任何疑问，请及时与我们联系，我们一定为您提供最优质的解决方案，确保您售后无忧，欢迎您下次光临~~
雯***湖,黑色,07.21,还是巴适，可以的，风力大，噪声小，很满意        07.21解释：大方是我的外在体现，内涵是我对自己的要求，物流是为您精心的选择，服务是我们一直强调的宗旨，感谢亲对美的环境电器官方旗舰店的支持。
黑***7,黑色,07.14,  初次评价: 07.14此用户没有填写评论!      收货24天后追加： 不好意思 换了手机没看见 电风扇不错 小中强三档 可遥控操作  非常方便 围观也漂亮    
琴***空,黑色,07.29,晚上把安装好，挺好看的    07.29
t***1,黑色,07.25,货收到了物流非常快，收到就安装用上了，还可以静音模式，风力十足，棒棒哒！    07.25
美***x,黑色,07.14,  初次评价: 07.14此用户没有填写评论!      收货28天后追加： 电风扇非常棒，静音，风大，第一次购买非常满意    
石***哥,黑色,07.18,用了好多天了才来评价确实好用        07.18解释：十分的感谢亲能在百忙中抽空给我们评价，美的环境电器官方旗舰店会秉着“顾客第一，服务第一”的宗旨，全心全意为您服务，如果在使用中或者是对产品有任何疑问，请及时与我们联系，我们一定为您提供最优质的解决方案，确保您售后无忧，欢迎您下次光临~~
d***4,黑色,07.19,与实体店的一样且价格便宜太多，值得放心购买    07.19解释：感谢您对美的环境电器官方旗舰店的认可和支持，我们将会秉承“顾客第一，服务第一”的宗旨，全心全意为您服务，再次感谢您的光临！祝亲购物愉快、事事顺心，工作顺利！~~
m***1,黑色,07.28,风扇收到之后自己摸索着装上后试了一下，非常给力，静音效果很棒，值的购买！小飞妹妹很贴心哟！                07.28
大***你,黑色,07.26,宝贝很不错，风力强劲，美观大方，你值得拥有一个凉爽的夏天            07.26
小***8,黑色,07.13,风力很大，外观高大上，老公说很好看，这个价钱能买到值了，还配了遥控器，好像还有记忆功能，摇头打破传统不再是按钮的了，真不错        07.13解释：十分的感谢亲能在百忙中抽空给我们评价，美的环境电器官方旗舰店会秉着“顾客第一，服务第一”的宗旨，全心全意为您服务，如果在使用中或者是对产品有任何疑问，请及时与我们联系，我们一定为您提供最优质的解决方案，确保您售后无忧，欢迎您下次光临~~
5***i,黑色,07.26,宝贝很快就到了，一到手立刻就安装上去，还是很简单就安装成功，看了一下有七个档位，符合需求，机器用料做工好，黑色比较沉稳，可以替代十年前我们家买的美的了，美的大牌值得信赖                    07.26
p***6,黑色,07.24,很好  安装便捷 比较稳  静音模式很安静   尤其 这个遥控器  懒癌患者福音   总体来说性价比蛮高的 满意            07.24
t***6,黑色,07.26,静音效果 自己听    07.26
x***7,黑色,07.29,商品：宝贝很快就到了，一到手立刻就安装上去，还是很简单就安装成功，机器用料做工好，黑色比较沉稳，可以替代十年前我们家买的美的了，美的大牌值得信赖服务：满意    07.29
z***5,黑色,07.27,经典黑色高大上的一款，动静小风大很实用。草莓客服妹妹服务好 机器非常不错        07.27
蜡***0,黑色,07.27,还是相信美的老牌子，声音确实小！    07.27
4***y,黑色,07.21,昨天到了装好以后就用了，风速不小声音也不大，不错值得购买，比实体店便宜多了，真心的服务，太棒了👍👍    07.21解释：非常感谢亲对美的认可和支持，我们将会更加努力为大家提供更高、更优质的服务和产品。我们的服务宗旨是买的放心、用的舒心、售后宽心！美的环境电器官方旗舰店一直以信誉第一，顾客至上的经营理念，再次感谢您的光临！祝亲购物愉快、事事顺心，工作顺利！~~
h***7,黑色,07.22,挺好的，声音也很小，比空调省电        07.22解释：感谢您对美的环境电器官方旗舰店的认可和支持，我们将会秉承“顾客第一，服务第一”的宗旨，全心全意为您服务，再次感谢您的光临！祝亲购物愉快、事事顺心，工作顺利！~~
j***y,黑色,07.26,电风扇还不错，挺满意.没有拍照，以此视频代表我的心情！    07.26
c***2,黑色,07.25,风扇很好，拿回来就用上了。推荐朋友买。物流也很快    07.25解释：十分的感谢亲能在百忙中抽空给我们评价，美的环境电器官方旗舰店会秉着“顾客第一，服务第一”的宗旨，全心全意为您服务，如果在使用中或者是对产品有任何疑问，请及时与我们联系，我们一定为您提供最优质的解决方案，确保您售后无忧，欢迎您下次光临~~
t***5,黑色,07.25,  初次评价: 07.25此用户没有填写评论!      收货5天后追加： 非常棒 ！值得再次购买    
t***8,黑色,07.18,还不错。黑色挺高大上的    07.18解释：非常感谢亲对美的认可和支持，我们将会更加努力为大家提供更高、更优质的服务和产品。我们的服务宗旨是买的放心、用的舒心、售后宽心！美的环境电器官方旗舰店一直以信誉第一，顾客至上的经营理念，再次感谢您的光临！祝亲购物愉快、事事顺心，工作顺利！~~
吃***0,黑色,07.24,特意用了一段时间来评价！风力超大！遥控方便又灵敏！超值啊！考虑楼下客厅再放一个！真实评价，想下手的小伙伴不要犹豫了！            07.24
方***4,黑色,07.24,电风扇已收到，风够大满意    07.24
鸡***以,黑色,07.26,宝贝美观大方，风速自由调空，静音效果好，喜欢的亲赶紧下手吧！        07.26
c***7,黑色,07.27,完美，已经买了第二个了    07.27
z***e,黑色,07.24,风扇质量很好，静音模式很好，风力柔和，外观简洁大方，遥控操作更方便了。草莓客服妹妹服务好 机器非常不错            07.24
珊***9,黑色,07.28,满意这次网购：风扇到货很快，包装完好，安装简单，颜值高，使用舒适，开心大爱！        07.28
刘***细,黑色,07.28,  初次评价: 07.28美的电风扇客厅遥控落地扇已收到货了，从外包装上看没有异常，因近时间工作忙暂未打开安装，待安装好了再追评价。客服人员勾通服务态度很好，快递既快又好。          收货当天追加： 美的电风扇客厅遥控大风落地扇非常的好。下午安装了10分钟好了，风量大，静音。质好美观大方。价格适当合理。赞赞赞………        
t***0,黑色,07.18,风扇收到非常满意！到家已经装上开始用了，没有噪音很安静，还是多功能的哟！    07.18
1***u,黑色,07.26,非常好，声音小，风力大，满意。    07.26
张***8,黑色,07.19,风扇收到了，质量非常好，底座也比较重，很牢固，风量也大，很满意5星好评。    07.19
0***愿,黑色,07.27,家里楼上楼下四台落地扇都是美的牌子的感觉用的很好风力大噪音小最早的那台到今年已经四年了。美的大牌子质量就是不一样今后还会继续购买也推荐朋友购买！                07.27
美***7,黑色,07.27,这个风扇挺满意的    07.27
罗***英,黑色,07.21,风扇 空调都是美的的 看上去就是有档次的 值得信耐的品牌  很好用 推荐给大家    07.21
s***志,黑色,07.24,电风扇真心很好，客服服务也非常好。    07.24
t***9,黑色,07.26,风扇真心不错哦    07.26
今***咯,黑色,07.25,宝贝今天装上用了，风力很大，美观好看，质量不错，很好            07.25解释：感谢您在百忙中对我们的评价。谢谢您对我们的认可，在这个炎热的夏天，能给您带来凉爽舒适的环境是我们美的环境电器应该做到的呢，祝您生活愉快，马上有一切！
t***2,黑色,07.26,风扇外观好看，风三档调节吹的很舒服，有遥控器用起来很方便，价格也不贵，笔芯，已经第二次买这款啦        07.26
h***i,黑色,07.19,大牌就是好，风量足    07.19
续***章,黑色,07.28,美的是个非常能让人信赖的老品牌了，收到货还是觉得性价比很高，质量也超级棒，客服小飞也非常有耐心，五星好评。                07.28
y***5,黑色,07.27,  初次评价: 07.27不错66      收货当天追加： 舒服，方便，快捷。            
a***5,黑色,07.26,风扇收到立马装好试用了，风扇动力很强劲，风很大，比我先买的艾美特风量大了很多，外观大器，底座很稳固，运行平稳，遥控很灵敏，选这家购物是我选对了，总之大品牌质量就是不一样！很滿意的一次购物，谢谢老板！        07.26
w***6,黑色,07.23,风扇外形大方美观，做工用料都很好，底盘够稳重，扇叶也比较大风力强，遥控操作很方便，静音功能适合晚上睡晚，很方便很满意！            07.23
海***6,黑色,07.29,风扇非常好！音小风大，外观也不错！家里电器基本上都是美的牌子的。美的电器值得信赖！        07.29
个***0,黑色,07.27,经济实惠，高端大气上档次！家里老开空调门窗禁闭，空气不对流，开个风扇让空气对流，身体更健康！            07.27
t***r,黑色,07.29,效果蛮好的，风力大，噪音不高，做工看起来上档次        07.29
发***单,黑色,07.24,一直待我妈家，她夏天在这买了两台回家了，而且她帮同事也买了好几套，风扇很好用，然后才上来婆家风扇不够用，直接找我妈要了链接也买了台，一样的品牌一样的质量一样的好用，带遥控，又可以节约好多体力了，特别是睡觉特方便        07.24
小***慧,黑色,07.25,快递收到了，包装很好，一如既往的选择美的电器。安装挺简单，很快就装好了，试了试风速效果不错，带着遥控，使用起来就是方便，而且耗电量是一级，又省电，又方便。大爱        07.25解释：十分的感谢亲能在百忙中抽空给我们评价，美的环境电器官方旗舰店会秉着“顾客第一，服务第一”的宗旨，全心全意为您服务，如果在使用中或者是对产品有任何疑问，请及时与我们联系，我们一定为您提供最优质的解决方案，确保您售后无忧，欢迎您下次光临~~
谭***赫,黑色,07.12,宝贝收到啦，质量真的很不错，而且价位也合适，比实体店便宜很多，卖家态度非常好，快递也给力        07.12解释：亲爱的，很高兴您选择美的宝贝成为您家庭中的一员，我们的的服务宗旨是：买的开心、用的舒心、售后放心、有任何不明白的随时联系我们的在线客服或者拨打我们的售后400-889-9315电话咨询哦~！祝亲和亲的家人生活愉快，幸福美满~！
姚***y,黑色,07.28,没想到这么快就收到，风扇质量很好而且风力也很大 值得购买        07.28
t***5,黑色,07.27,挺好的，安装简单，风也挺大的    07.27
t***2,黑色,07.27,电风扇真的好。第二次买。给妈妈买了一个。静音 方便 妈妈也非常喜欢。好 好 好。五星                07.27
万***仟,黑色,07.22,电扇收到了，是正品，外观大气，风力大，必须好评！隔天到货好快！    07.22
田***7,黑色,07.24,风扇到家用了好些日子，风力强外型优美。喜欢的可快速下单。👌👌        07.24
t***1,黑色,07.29,电风扇颜值很高，风力强劲，功能齐全，我特别满意，客服小飞妹妹服务态度非常好，非常贴心，谢谢她的热情耐心的服务态度，为她点赞                07.29
t***9,黑色,07.23,高度刚好，出风模式调节方便，安静    07.23
c***3,黑色,07.20,今天刚收到，包装严谨，打开很快就安装好了，非常简单，风扇很不错，外观很好看，亲戚推荐的，值得拥有，必须好评！            07.20
a***菜,黑色,07.27,组装简单，外观经典耐看上档次，风声不吵，推荐购买❤小新客服也很贴心的呢，么～        07.27
潜***0,黑色,07.28,质量非常的好。推荐大家买买买，小飞妹妹很热情哦。                07.28
不***1,黑色,07.18,电风扇到了果断装好，装起来十分简单，风扇也十分给力，吹出来的风特别凉爽，质量也很不错，性价比很高，夏天风扇必须入一个                07.18
宁***2,黑色,07.25,很好用，风很大看着挺结实的        07.25
爱***t,黑色,07.28,不好意思评的有些晚，电风扇用着还不错，容易安装黑色也大气，可手动也可遥控控制非常方便。            07.28
浪***o,黑色,07.24,挺好用的，挺方便的，好评    07.24
最***5,黑色,07.24,质量特别好风速大，静音模式开启后特别静，快递也给力，炎暑期特别谢谢快递哥还给我送到家里非常感谢！        07.24
t***8,黑色,07.29,风扇已经用了几天了，风大，遥控款方便多了，特别是晚上睡觉，按一下可以继续睡，好评。            07.29
邓***8,黑色,07.25,风力等级多，风类也多，组装好了看起来不错        07.25解释：亲是个很好的顾客，谢谢您的诚恳评价！我们始终都在坚持，不仅要有好的产品品质，同样也要做到最优势的售后服务，随时为您解决问题，让您满意为止！如果您对产品有使用不明白的地方，可以随时联系我们的在线客服，竭诚为您服务！
t***5,黑色,07.13,风扇收到了，装好了试一下，一切正常！给五分        07.13解释：大方是我的外在体现，内涵是我对自己的要求，物流是为您精心的选择，服务是我们一直强调的宗旨，感谢亲对美的环境电器官方旗舰店的支持。
杨***欣,黑色,07.27,风扇收到了，质量超好，款式漂亮，装的时候不会弄小贤客服好贴心，必须五星        07.27
t***9,黑色,07.29,风扇很漂亮，吹出来的风也很柔和，还带遥控器，超喜欢        07.29
t***1,黑色,07.15,物流超快。风扇风很舒服，柔和，安装简单，遥控可调风速，美的的牌子我很信任，下次还选美的。        07.15解释：谢谢亲给予我们美的这么高的肯定，美的环境电器官方旗舰店一定不负所望，做好亲最忠实的守护者！
t***0,黑色,07.22,电风扇收到货啦，组装好后挺好用的，希望它耐用点。    07.22
马***1,黑色,07.27,电风扇比较满意，美的大品牌，值得信赖。比实体店里便宜多了。而且还配有遥控，很不错！爱了爱了            07.27
问***爸,黑色,07.29,宝贝很快就到了，一到手立刻就安装上去，还是很简单就安装成功，看了一下有七个档位，符合需求，机器用料做工好，黑色比较沉稳，可以替代十年前我们家买的美的了，美的大牌值得信赖    07.29
依***儿,黑色,07.23,非常好！质量好看着高端大气！    07.23
l***6,黑色,07.27,很不错，机器非常不错    07.27
w***3,黑色,07.29,风力很大，很不错的👍    07.29
y***揍,黑色,07.27,宝贝收到！美的不亏是老牌子！还遥控的！外观也很好看！！赞赞赞            07.27
爱***馨,黑色,07.25,特别好一直就喜欢美的的产品没让我失望 草莓客服妹妹服务好 机器非常不错 风力特别大😍😍😍                07.25解释：亲，您是个非常好的顾客，感谢您喜欢我们的产品，希望它能给您的生活带来欢乐！亲在使用中有任何疑问，随时联系我们，相信我们会做的更好，用心打造品牌~！
成***虫,黑色,07.24,不愧为大品牌值得信赖，送货极速，风扇设计款式大方，运行正常，没有噪音，给盛夏送来阵阵凉意。                07.24
木***3,黑色,07.23,非常好用，，去年买了一台，今年又入手一台。风很舒服，静音模式很舒服，一点声音都没有。最大风速扇久了还会冷，遥控器控制真的是懒人的福利哦，有了它，妈妈再也不用担心我会懒得起床关风扇啦！哈哈。好评哦，大品牌还是值得信赖的。        07.23
t***4,黑色,07.13,  初次评价: 07.13此用户没有填写评论!      收货29天后追加： 美的风扇很好呦，比我婆婆买的扬子的好多了，风大静音，最主要的是还不贵，放着很高大尚                
t***2,黑色,07.24,风扇不错，大品牌值得信任。 小飞妹妹很贴心            07.24
l***5,黑色,07.19,  初次评价: 07.19此用户没有填写评论!      收货21天后追加： 不好意思来晚了，风扇质量挺好，风吹着很舒服        
z***9,黑色,07.25,款式美观，发货很快，客服服务很好，与描述一样，安装方便，风力大，，基本没有杂音，遥控功能多            07.25解释：十分的感谢亲能在百忙中抽空给我们评价，美的环境电器官方旗舰店会秉着“顾客第一，服务第一”的宗旨，全心全意为您服务，如果在使用中或者是对产品有任何疑问，请及时与我们联系，我们一定为您提供最优质的解决方案，确保您售后无忧，欢迎您下次光临~~
于***8,黑色,07.22,风扇质量不错，美的大牌质量有保障，安装非常简单，高中低三档调节，地盘稳固，遥控器使用方便，给嫂子买的，她非常满意！        07.22
高***2,黑色,07.21,非常满意的风扇            07.21
c***8,黑色,06.09,  初次评价: 06.09此用户没有填写评论!      收货62天后追加： 特意用了很长一段时间才来评价的，就是想给大家一个真实反馈的，风扇非常不错，风很大，遥控的也很方便不用起身就可以调节呢，需要的亲可以放心购买了！        
翠***光,黑色,07.18,美的大牌，质量过硬，工艺精致，外观漂亮，设计合理，不足之处是包装纸箱一般，很满意，给好评，并真诚推荐。        07.18
y***8,黑色,07.27,质量不错，美观大方，风量舒适。        07.27
永***m,黑色,07.27,很满意 物美价廉 客服耐心热情 发货快 比较静音 颜值也高 公公选的 他很满意 哈哈        07.27
爱***e,黑色,07.28,总体来说还是比较好 操控方式方便        07.28
小***阿,黑色,07.29,电风扇收到了，安装下开机风很大质量很好，中间出了些小插曲客服很快的就解决了                07.29
t***2,黑色,07.24,美的电风扇风力强劲，运行平稳，去年买了一台感觉很好，今年又买了一台，图片中左边是刚到的，安装好了，非常满意！物流快，服务也不错。        07.24
d***8,黑色,07.26,好的，很不错哦😊'如果是白色就更完美了            07.26
l***3,黑色,07.25,产品挺好的，必定是品牌货！声音小，风速快，易安装，客服小姐姐也给我介绍了安装要领！谢谢，下次还会购买        07.25解释：十分的感谢亲能在百忙中抽空给我们评价，美的环境电器官方旗舰店会秉着“顾客第一，服务第一”的宗旨，全心全意为您服务，如果在使用中或者是对产品有任何疑问，请及时与我们联系，我们一定为您提供最优质的解决方案，确保您售后无忧，欢迎您下次光临~~
a***9,黑色,07.23,很满意  非常漂亮    07.23
我***9,黑色,07.27,正品，功能齐全，各种风力，九种风感，值得拥有        07.27
t***4,黑色,06.26,  初次评价: 06.26此用户没有填写评论!      收货46天后追加： 用了一段时间才来评价，宝贝真的很好，来个五星好评吧        
t***7,黑色,07.26,风扇收到了，并且用了几天才来评价的，这款风扇不止于外表高大上，而且质量杠杠滴，带遥控很方便，并且安装简单，美的大品牌值得信赖，五星好评。👍👍👍👍👍👍    07.26
t***7,黑色,07.28,风扇还行，风挺大的，下次有需要还在你们店里买，好评，好评        07.28
1***林,黑色,07.24,我媳妇说了还不错…满意的一次淘宝购物！        07.24
下***我,黑色,07.24,收到货就安装上了，很简单，风很大很凉快，值得购买        07.24
小***7,黑色,07.28,超级好用。而且声音不大。性价比真的很好。而且小飞妹妹客服也很贴心哦                07.28
t***7,黑色,07.25,大品牌值得拥有！价格实惠，小商店里的杂牌都卖差不多的价格了，何况品牌电器！组装也简单蛮好的    07.25
g***0,黑色,07.29,发货快，包装完好，很快就安装好了。运转正常，没毛病。                    07.29
o***i,黑色,07.24,风力大，风扇漂亮，蛮喜欢的，收货很快        07.24
想***活,黑色,07.29,很好，款式漂亮，婆婆很喜欢        07.29
落***雨,黑色,07.24,  初次评价: 07.24五分好评，东西很不错，客服也不错，大品牌确实很好，希望能多搞活动                  收货当天追加： 小飞妹妹很贴心呢，很耐心的教我们怎么使用，售后也很不错    
李***0,黑色,07.24,宝贝很好  又买了一个给婆婆妈            07.24
a***4,黑色,05.17,  初次评价: 05.17此用户没有填写评论!      收货88天后追加： 买了两个美的遥控风扇效果很好        
c***1,黑色,06.28,  初次评价: 06.28此用户没有填写评论!      收货42天后追加： 用了一段时间了，很好，定时时间可6小时，风类有3种，风速可以，带遥控功能，不用起来调，这个真的很方便        
1***y,黑色,07.25,风力足，声音还可以接受，物超所值哈，还会继续支持        07.25解释：十分的感谢亲能在百忙中抽空给我们评价，美的环境电器官方旗舰店会秉着“顾客第一，服务第一”的宗旨，全心全意为您服务，如果在使用中或者是对产品有任何疑问，请及时与我们联系，我们一定为您提供最优质的解决方案，确保您售后无忧，欢迎您下次光临~~
t***8,黑色,07.23,超级好 客服热情 物流很快 实体店看了2百多 还在观望的小伙伴赶紧下手吧    07.23
l***1,黑色,07.29,电扇收到了，声音小，风感柔和，还可以遥控，满意。        07.29
周***3,黑色,07.28,黑色主色调，咖色边和按键非常漂亮，还能定时，用着不错    07.28
t***0,黑色,07.21,漂亮结实，材料真的很好👍……要买的推荐，下次还来他家买……            07.21
林***光,黑色,07.28,外观漂亮，风力强劲，好！        07.28
t***2,黑色,07.25,装好就用了，非常不错。        07.25
t***7,黑色,07.28,美的大品牌，不错，我家有好多美的的产品，质量没问题                        07.28
a***0,黑色,07.20,宝贝收到了非常满意    07.20
t***4,黑色,07.29,挺好的，价格便宜，支持美的电器，比实体店便宜真的很多        07.29
t***1,黑色,07.23,很满意。对比了很多觉得这个好，今天收到货果然不错，风力不错，高度也够，定时风种什么的都很好，静音模式风力轻柔声音小适合有宝宝的用，睡觉开也不错，价格也是便宜的，对比其他型号品牌也对比过实体店，反正各种满意，五星好评。        07.23
美***侠,黑色,07.28,不愧是美的 老牌子 值得信任 可以静音            07.28
幸***0,黑色,07.24,东西非常好哦很满意的必须好评啊        07.24
z***7,黑色,07.23,最近比较忙，一直没评价，不好意思啊。风扇非常不错，样子漂亮，运转细致，几种模式合理，很好很好！        07.23
s***豆,黑色,07.28,宝贝收到了，质量很好，外观很漂亮，安装方便，声音小，风大，风很柔和，超凉快，高中低三档调节，遥控器使用方便，高端大气上档次，非常满意。    07.28
涵***宝,黑色,07.24,刚安装上，目前使用不错。        07.24
妮***3,黑色,07.26,电风扇收到了，外观大气，风吹凉爽，声音也可以，总之超级满意！风扇比去年帮老妈买的要便宜，但是质量却感觉更好，已经关注店铺，下次有活动还会回购！祝生意兴隆，财源滚滚！    07.26
k***3,黑色,07.22,良心卖家！性价比很高。    07.22
杨***难,黑色,07.25,很好 安装也非常省事，相信大品牌的质量，                07.25
s***3,黑色,07.24,风扇不错，已经买第二次了。质量很好。                        07.24
人***着,黑色,07.29,不错静音，老顾客了，以前就在你家买过一个，看非常不错，这次又买了一个，必须好评哦！        07.29
爱***9,黑色,07.24,大品牌，物美价廉！值得拥有！                07.24
t***5,黑色,07.24,挺好的，满意   比实体店便宜   会介绍家里朋友来购                07.24
逢***尔,黑色,07.28,宝贝收到，组装完开了下，太完美了，风大还带摇空器，非常喜欢的一次购物，完美五星好评        07.28
y***9,黑色,07.26,确实好用电器我家里都是美的的，喜欢这牌子        07.26
t***0,黑色,07.16,质量不错，风力足，还可以遥控，值得购买。            07.16解释：衷心感谢您的惠顾与信任，希望我们的真诚和热情能带给您灿烂的笑容，美丽的心情，期待您的再次光临！
昔***静,黑色,07.26,这是在本店买的第2个风扇。很好用。有空的也很方便。        07.26
咖***0,黑色,07.28,风扇不错。比电里便宜。风以挺大的    07.28
怡***1,黑色,07.18,已经是第三台了，质量特别好，前面两台用的都很好，静音效果也很棒，大品牌值得购买。            07.18
静***心,黑色,07.24,电扇很容易安装好了，外形好看，风力大，遥控器用着方便，美的牌值得购买    07.24
t***8,黑色,07.14,  初次评价: 07.14此用户没有填写评论!      收货15天后追加： 大品牌！质量很好！买电器还是要买大品牌！            
